ClientUUId,Id,OrderType,LocalBeginDate,LocalEndDate,OrderPrice,Discount,apply_promo
000D3A20F23EA95811E7C0A95563344E,7,"2,3",2023-11-02T00:00:00Z,2023-11-05T23:59:00Z,799,200,0.027064625
000D3A20F23EA95811E7C7892A0CE261,5,"2,3",2023-11-02T00:00:00Z,2023-11-05T23:59:00Z,699,200,0.18369807
000D3A20F23EA95811E7CD686C396528,6,"2,3",2023-11-02T00:00:00Z,2023-11-05T23:59:00Z,799,20,0.022179518
000D3A20F23EA95911E7CEA8C574EDAE,5,"2,3",2023-11-02T00:00:00Z,2023-11-05T23:59:00Z,799,200,0.04343152
000D3A20F23EA95911E7D4F05C59C978,7,"2,3",2023-11-02T00:00:00Z,2023-11-05T23:59:00Z,799,200,0.054016072
000D3A20F23EA95911E7D6B249A6ABEF,6,"2,3",2023-11-02T00:00:00Z,2023-11-05T23:59:00Z,799,20,0.010579305
000D3A20F23EA95911E7D75CC14C2EB3,6,"2,3",2023-11-02T00:00:00Z,2023-11-05T23:59:00Z,799,20,0.038366493
000D3A20F23EA95911E7DA484BFE5990,5,"2,3",2023-11-02T00:00:00Z,2023-11-05T23:59:00Z,799,200,0.053420905
000D3A20F23EA95911E7DCCC39DAA1D7,5,"2,3",2023-11-02T00:00:00Z,2023-11-05T23:59:00Z,749,200,0.009672043
000D3A20F23EA95911E7DD7C3DE7ACB4,6,"2,3",2023-11-02T00:00:00Z,2023-11-05T23:59:00Z,799,20,0.015539104
000D3A20F23EA95911E7E17FA74F7E8F,5,"2,3",2023-11-02T00:00:00Z,2023-11-05T23:59:00Z,799,200,0.2188232
000D3A20F23EA95911E7E1BC2B94C21E,6,"2,3",2023-11-02T00:00:00Z,2023-11-05T23:59:00Z,749,25,0.008292006
000D3A20F23EA95911E7E884A4FE1D65,5,"2,3",2023-11-02T00:00:00Z,2023-11-05T23:59:00Z,749,200,0.008456795
000D3A20F23EA95B11E7EEFBD3D396A8,6,"2,3",2023-11-02T00:00:00Z,2023-11-05T23:59:00Z,749,20,0.0464112
000D3A2155A180E411E7A04DA5C96E25,5,"2,3",2023-11-02T00:00:00Z,2023-11-05T23:59:00Z,799,200,0.013403735
000D3A2155A180E511E7A362E741E0D5,5,"2,3",2023-11-02T00:00:00Z,2023-11-05T23:59:00Z,799,200,0.018487008
000D3A2155A180E611E7A5E1A6CE8F8C,7,"2,3",2023-11-02T00:00:00Z,2023-11-05T23:59:00Z,799,200,0.008610723
000D3A2155A180E811E7AB03034955F0,7,"2,3",2023-11-02T00:00:00Z,2023-11-05T23:59:00Z,749,150,0.018035326
000D3A2155A180E811E7ADA6BB00E2B7,7,"2,3",2023-11-02T00:00:00Z,2023-11-05T23:59:00Z,799,200,0.052065212
000D3A2155A180EA11E7BCB239A52DA3,6,"2,3",2023-11-02T00:00:00Z,2023-11-05T23:59:00Z,799,20,0.0323805
000D3A2155A180EA11E7C09C3B0B9A58,6,"2,3",2023-11-02T00:00:00Z,2023-11-05T23:59:00Z,749,25,0.010376018
000D3A2155A180EA11E7C15130C2CC02,5,"2,3",2023-11-02T00:00:00Z,2023-11-05T23:59:00Z,749,200,0.007463745
000D3A2155A180EA11E7C2C65399DD34,5,"2,3",2023-11-02T00:00:00Z,2023-11-05T23:59:00Z,799,200,0.012660002
000D3A2155A180EC11E7D7F22A4FD980,6,"2,3",2023-11-02T00:00:00Z,2023-11-05T23:59:00Z,799,20,0.23980744
000D3A2155A180EC11E7DBE2E2E1EB40,7,"2,3",2023-11-02T00:00:00Z,2023-11-05T23:59:00Z,799,200,0.01503996
000D3A2155A180EC11E7E66FB2DBBFB7,6,"2,3",2023-11-02T00:00:00Z,2023-11-05T23:59:00Z,799,20,0.0132872835
000D3A2155A180EC11E7EC96CD058644,7,"2,3",2023-11-02T00:00:00Z,2023-11-05T23:59:00Z,799,200,0.03961193
000D3A2155A180EE11E7F16650436850,5,"2,3",2023-11-02T00:00:00Z,2023-11-05T23:59:00Z,799,200,0.045278866
000D3A21DA51A81111E90AAB8793DD0E,6,"2,3",2023-11-02T00:00:00Z,2023-11-05T23:59:00Z,749,25,0.013287928
000D3A21DA51A81111E90B41DE55002D,5,"2,3",2023-11-02T00:00:00Z,2023-11-05T23:59:00Z,799,200,0.022854581
000D3A21DA51A81111E91197290B472A,5,"2,3",2023-11-02T00:00:00Z,2023-11-05T23:59:00Z,799,200,0.0074105584
000D3A21DA51A81111E9173DA4EFCCA8,6,"2,3",2023-11-02T00:00:00Z,2023-11-05T23:59:00Z,799,20,0.03060607
000D3A21DA51A81111E917A17F9A10C2,5,"2,3",2023-11-02T00:00:00Z,2023-11-05T23:59:00Z,799,200,0.031251967
